BikeManufacturer	NumThefts
Apollo	1
Aventón	1
Bianchi	5
Breezer	1
Bridgestone	2
Bullitt	1
Cannondale	13
Cervélo	1
Charge	1
Custom	1
Diamondback	3
Easy Motion	1
Electra	1
FRAMED	1
Felt	12
Fuji	15
Fyxation	2
GMC	1
GT Bicycles	3
Gary Fisher	6
Genesis	1
Giant (and LIV)	14
Gravity	1
Guardian	1
Guru	1
Haibike	1
IRO Cycles	1
Jamis	2
Kona	5
LeMond	2
Magnum Bikes	1
Marin Bikes	1
Milwaukee Bicycle Co.	1
Mongoose	1
Motobecane	1
Nishiki	1
Norco Bikes	2
Novara	3
Orbea	2
Origin8	1
Other	2
Performance	1
Peugeot	2
Pinarello	1
REI Co-op (Co-op Cycles)	1
Rad Power Bikes	4
Raleigh	11
Rocky Mountain Bicycles	1
SCOTT	1
Salsa	3
Santa Cruz	1
Sanwa	1
Schwinn	13
Shifty Cycles (Kickstarter)	1
Specialized	32
State Bicycle Co.	2
Stray Cat Bicycles	1
Surly	3
Trek	112
Unbranded, rigid steel mountain bike, unlugged.	1
Univega	1
Unknown	1
Velotric	1
Vilano	1
Wabi Cycles	1
Worksman Cycles	1
